District,Market,Commodity,Variety,Maximum Price (INR),Average Price (INR),Minimum Price (INR),Last Updated On
Muktsar,Bariwala,Wheat,2329,2425,2425,2425,13 May 2025
Sangrur,Bhawanigarh,Wheat,Other,2425,2425,2425,13 May 2025
Fazilka,Jalalabad,Wheat,Other,2425,2425,2425,13 May 2025
Mansa,Bhikhi,Wheat,Other,2430,2425,2425,13 May 2025
Jalandhar,Jalandhar City,Wheat,Other,2430,2430,2430,13 May 2025
Hoshiarpur,Garh Shankar,Wheat,Other,2425,2425,2425,13 May 2025
Tarntaran,Tarantaran,Wheat,Other,2430,2425,2425,13 May 2025
Gurdaspur,Dinanagar,Wheat,Other,2425,2425,2425,13 May 2025
Jalandhar,Nakodar,Wheat,Other,2425,2425,2425,13 May 2025
Mansa,Budhlada (Phaphre Bhaike),Wheat,Other,2425,2425,2425,13 May 2025
Jalandhar,Bilga,Wheat,Other,2425,2425,2425,13 May 2025
Tarntaran,Bhikhiwind(Khalra),Wheat,Other,2425,2425,2425,13 May 2025
Jalandhar,Bilga (Talwan ),Wheat,Other,2425,2425,2425,13 May 2025
Ludhiana,kum Kalan,Wheat,Wheat,2425,2425,2425,13 May 2025
Jalandhar,Mehatpur,Wheat,147 Average,2425,2425,2425,12 May 2025
Sangrur,Ahmedgarh,Wheat,147 Average,2430,2430,2430,12 May 2025
Faridkot,Jaitu,Wheat,Local,2425,2425,2425,12 May 2025
Barnala,Bhadaur(Sehna),Wheat,Other,2425,2425,2425,12 May 2025
Amritsar,Amritsar,Wheat,Other,2430,2425,2425,12 May 2025
Mansa,Boha,Wheat,Other,2425,2425,2425,12 May 2025
Jalandhar,Phillaur,Wheat,Other,2425,2425,2425,12 May 2025
Ferozpur,Talwandi Bhai,Wheat,Other,2425,2425,2425,12 May 2025
Fatehgarh,Sirhind,Wheat,Other,2425,2425,2425,12 May 2025
Jalandhar,Jalandhar City(Kartar Pur Dana mandi),Wheat,Other,2430,2430,2430,12 May 2025
Barnala,Mehal Kallan (ChananWal),Wheat,Other,2425,2425,2425,12 May 2025
Mansa,Bareta,Wheat,Other,2425,2425,2425,12 May 2025
Barnala,Tapa(Tapa Mandi),Wheat,Other,2425,2425,2425,12 May 2025
Moga,Kot ise Khan,Wheat,Other,2435,2430,2425,12 May 2025
Bhatinda,Sangat,Wheat,Other,2430,2425,2425,12 May 2025
Ferozpur,Talwandi Bhai(Mudki),Wheat,Other,2425,2425,2425,12 May 2025
Amritsar,Majitha,Wheat,Other,2425,2425,2425,12 May 2025
Barnala,Mehal Kalan,Wheat,Other,2425,2425,2425,12 May 2025
Nawanshahr,Nawan Shahar(MandiRaho),Wheat,Other,2425,2425,2425,12 May 2025
kapurthala,Dhilwan,Wheat,Other,2425,2425,2425,12 May 2025
Muktsar,Muktsar,Wheat,1482,2425,2425,2425,11 May 2025
Amritsar,Rayya(Sathiala),Wheat,Other,2425,2425,2425,11 May 2025
Sangrur,Amargarh,Wheat,Other,2425,2425,2425,11 May 2025
Fazilka,Abohar,Wheat,Other,2430,2425,2425,11 May 2025
Ludhiana,Sahnewal,Wheat,Other,2425,2425,2425,11 May 2025
Faridkot,Jaitu(Bajakhana),Wheat,Other,2425,2425,2425,11 May 2025
